  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    20      47   1.47095826e-03   6.56397844e-03
    20      48   1.67379812e-04   6.36429957e-03
    20      49   2.25858098e-04   1.49304411e-04
    20      50   3.35168121e-03   1.62574089e-02
    21       1   3.51838352e-03   1.59308722e-02
    21       2   3.65853913e-03   2.12278989e-04
    21       3   3.26927999e-03   2.10517747e-04
    21       4   2.68741872e-03   1.19001146e-04
    21       5   2.04137243e-03   1.28368353e-04
    21       6   5.75608332e-03   7.36163471e-04
    21       7   8.80043304e-04   9.62247815e-04
    21       8   2.29497410e-04   1.20592854e-04
    21       9   6.75539549e-07   4.23801475e-05
    21      10   2.98367038e-08   1.21354753e-07
    22       1   9.80278752e-04   1.54446974e-03
    22       2   3.77689072e-05   1.48098168e-04
    22       3   2.54691239e-04   1.30895958e-03
    22       4   7.81928695e-03   4.15270362e-02
    22       5   4.07465731e-05   4.35584154e-02
    22       6   4.71847429e-04   2.33368214e-03
    22       7   7.50205528e-06   2.45363271e-03
    22       8   1.36229832e-04   6.74128111e-04
    22       9   1.50816786e-05   6.85694904e-04
    22      10   3.40158331e-06   1.51445397e-04
    22      11   5.52220481e-04   2.92822912e-03
    22      12   1.45763856e-04   1.86035749e-03
    22      13   1.03035941e-05   9.35082630e-04
    22      14   6.08411165e-04   3.19340651e-03
    22      15   3.40583886e-05   2.87735615e-03
    22      16   1.34308061e-04   4.20623776e-04
    22      17   7.50951987e-04   3.29610131e-03
    22      18   5.67534506e-06   3.89108291e-03
    22      19   5.05110517e-06   2.78071070e-04
    22      20   6.28501158e-05   3.47721649e-04
    22      21   4.19160656e-05   7.26992616e-05
    22      22   4.16634195e-05   5.78842618e-08
    22      23   4.15148480e-05   4.00819505e-08
    22      24   4.02763256e-05   3.91235662e-07
    22      25   4.02375775e-05   1.20757819e-08
    22      26   4.07750372e-05   8.24406838e-07
    22      27   1.40229803e-06   8.19186746e-06
    23       1   1.80287905e-04   9.99505745e-04
    23       2   2.25087576e-05   1.15876667e-04
    23       3   1.53380325e-04   8.87815476e-04
    23       4   2.45914036e-05   6.57223154e-04
    23       5   3.77570195e-04   2.00279988e-03
    23       6   4.53365247e-05   2.32793297e-03
    23       7   1.33622560e-04   9.77298498e-04
    23       8   7.19318536e-06   6.58529881e-04
    23       9   3.15231955e-04   1.99915742e-03
    23      10   5.25113102e-06   2.31605453e-03
    23      11   1.85982444e-04   9.78965372e-04
    23      12   8.35921531e-05   6.54221207e-04
    23      13   4.86059742e-04   2.00887037e-03
    23      14   2.10274273e-05   2.33323438e-03
    23      15   2.16362253e-04   9.79550525e-04
    23      16   6.87423119e-05   6.59657384e-04
    23      17   3.57171185e-04   1.99538615e-03
    23      18   5.40081533e-05   2.31420038e-03
    23      19   2.53275656e-04   9.79916133e-04
    23      20   1.74675557e-04   6.51332914e-04
    23      21   5.45468122e-04   2.00529182e-03
    23      22   8.07772422e-05   2.33333663e-03
    23      23   3.09506410e-04   9.83581273e-04
    23      24   1.41970566e-04   6.62058472e-04
    23      25   4.42693018e-04   1.99708891e-03
    23      26   1.99110449e-05   2.32826589e-03
    23      27   2.67853757e-04   9.85736282e-04
    23      28   1.90298983e-04   6.51253346e-04
    23      29   5.83267304e-04   2.00789549e-03
    23      30   9.29266016e-05   2.33639370e-03
    23      31   6.44514179e-05   9.38183324e-04
    23      32   1.35211228e-04   6.19142410e-04
    23      33   5.02144277e-04   2.00478780e-03
    23      34   7.59455923e-05   2.34635522e-03
    23      35   1.21408724e-04   9.79395110e-04
    23      36   7.71250997e-05   6.47197863e-04
    23      37   4.46018034e-04   2.00493406e-03
    23      38   2.86306874e-05   2.33424554e-03
    23      39   1.98950255e-04   9.83295679e-04
    23      40   5.91538234e-05   6.58679303e-04
    23      41   3.74724463e-04   1.99852449e-03
    23      42   5.37477570e-05   2.31627394e-03
    23      43   3.24653185e-04   9.88685792e-04
    23      44   9.83107461e-05   6.69276426e-04
    23      45   4.68398633e-04   2.00508550e-03
    23      46   3.46763720e-04   2.37407802e-03
    23      47   1.17726330e-05   9.97714550e-04
    23      48   5.99713441e-05   6.35916216e-04
    23      49   3.89420246e-04   2.00014011e-03
    23      50   6.20780451e-05   2.33127091e-03
    24       1   2.57492139e-04   1.61504077e-03
    24       2   3.95765057e-03   1.38540985e-03
    24       3   5.29287227e-03   5.24496103e-04
    24       4   6.12492283e-03   1.74665789e-03
    24       5   8.59690594e-03   1.62709197e-03
    24       6   6.09223702e-03   2.46613258e-03
    24       7   9.54775257e-04   8.99615630e-04
    24       8   3.37592922e-04   1.48456495e-04
    24       9   6.09558587e-05   9.80506064e-05
    24      10   8.15494553e-05   1.20907718e-04
    24      11   3.38526752e-04   1.92345343e-03
    24      12   2.62020217e-04   1.81213054e-03
    24      13   7.38141483e-05   2.74945975e-03
    24      14   4.56415243e-04   9.26322006e-04
    24      15   7.38495227e-04   2.28510948e-04
    24      16   2.06045305e-04   2.45145328e-04
    24      17   1.16055488e-04   1.13044775e-04
    24      18   6.72073029e-04   1.96824082e-03
    24      19   6.06104795e-04   1.81297713e-03
    24      20   5.39497056e-04   2.72209214e-03
    24      21   4.24428389e-04   8.98426445e-04
    24      22   4.16812656e-04   1.25873652e-04
    24      23   2.04684744e-04   1.87131041e-04
    24      24   4.15456078e-04   1.48409064e-04
    24      25   1.13820069e-03   1.96147330e-03
    24      26   8.67065518e-04   1.78720378e-03
    24      27   7.46488538e-04   2.72800588e-03
    24      28   5.61767367e-04   9.05113411e-04
    24      29   5.75265997e-04   1.25048856e-04
    24      30   2.39458692e-04   2.07752516e-04
    24      31   1.26158833e-04   1.16570119e-04
    24      32   8.01141893e-04   1.95704806e-03
    24      33   1.12423939e-03   1.84847958e-03
    24      34   5.61313160e-04   2.77615090e-03
    24      35   4.12314153e-04   9.01738335e-04
    24      36   3.31430912e-04   1.29396272e-04
    24      37   1.36467753e-04   1.87098416e-04
    24      38   1.58303366e-04   1.28584175e-04
    24      39   6.63064431e-04   1.93093020e-03
    24      40   9.59866578e-04   1.84962650e-03
    24      41   4.64827620e-04   2.76854456e-03
    24      42   3.04594800e-04   9.02951550e-04
    24      43   2.95239900e-04   1.25988846e-04
    24      44   1.58018918e-04   1.73751912e-04
    24      45   1.66113020e-04   1.25580345e-04
