  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
   164       1   2.12839802e-02   1.60554191e-02
   164       2   7.91531586e-06   1.53263546e-02
   164       3   1.23118099e-07   5.71569101e-06
   165       1   2.28076358e-02   1.72235397e-02
   165       2   7.67061801e-07   1.64602285e-02
   165       3   1.51145441e-08   4.13143293e-07
   166       1   2.29924886e-02   1.73727381e-02
   166       2   1.88651912e-06   1.66041715e-02
   166       3   3.15201162e-08   1.25846637e-06
   167       1   2.19261944e-02   1.65681561e-02
   167       2   5.50744031e-07   1.58277150e-02
   167       3   1.31777680e-07   3.90370864e-07
   168       1   1.97380995e-02   1.49090275e-02
   168       2   3.24072641e-06   1.42252003e-02
   168       3   1.24167866e-06   2.66860912e-06
   169       1   1.66352396e-02   1.25549393e-02
   169       2   3.96245219e-06   1.19595253e-02
   169       3   9.07265936e-09   2.31866957e-06
   170       1   1.27627591e-02   9.62102730e-03
   170       2   2.45276343e-05   9.12996653e-03
   170       3   3.67582488e-06   1.57149299e-05
   171       1   8.35820251e-03   6.29266465e-03
   171       2   2.58478027e-06   5.96920450e-03
   171       3   1.93047317e-06   4.10641246e-07
   172       1   3.90085153e-03   2.92999312e-03
   172       2   3.46540206e-05   2.79955518e-03
   172       3   2.05207251e-05   3.90702893e-05
   173       1   1.05136704e-03   7.97792518e-04
   173       2   2.17479277e-05   7.66250828e-04
   173       3   9.59038774e-05   8.64782654e-05
   174       1   3.08034379e-03   2.31642742e-03
   174       2   1.06909045e-03   1.41916554e-03
   174       3   4.24103664e-04   4.59080040e-04
   174       4   1.81201096e-04   4.31833087e-04
   174       5   5.52673220e-05   1.69911144e-04
   174       6   1.10196669e-05   3.14234140e-05
   175       1   8.34087978e-03   6.23202992e-03
   175       2   1.85246601e-04   5.98637491e-03
   175       3   6.93075745e-05   1.71074982e-04
   175       4   1.05730610e-04   1.29256927e-04
   175       5   6.02928834e-05   3.56985491e-05
   176       1   1.28248748e-02   9.57211531e-03
   176       2   1.60405879e-04   8.86993319e-03
   176       3   1.19855468e-05   1.26322184e-04
   176       4   4.85963797e-06   5.46139087e-06
   177       1   1.40712286e-02   1.04948823e-02
   177       2   7.54731046e-06   9.84934919e-03
   177       3   9.01594722e-07   2.95396391e-06
   178       1   1.53671251e-02   1.14523491e-02
   178       2   2.16648975e-07   1.07373539e-02
   178       3   9.23971458e-08   1.93522659e-07
   179       1   1.57886291e-02   1.17603191e-02
   179       2   7.88643776e-05   1.09658000e-02
   179       3   7.94655294e-05   1.15388940e-04
   179       4   7.02167106e-05   1.09444637e-04
   179       5   4.19221774e-05   8.26563877e-05
   180       1   1.61395799e-02   1.20157880e-02
   180       2   6.70227352e-03   6.55272361e-03
   180       3   4.84202893e-03   1.32123486e-03
   180       4   8.59231974e-05   3.35208654e-03
   180       5   7.59531448e-05   1.15554608e-04
   180       6   4.11679455e-05   8.61759877e-05
   181       1   1.32500681e-02   9.87252871e-03
